k,i,j,jw,cpau,jwau,dfpy,jwso,dfv,dfp,dfch,dft,pyxvxp,prob,miss,batch,str,train,match,ix
169,1,2,0.030689663,1,0,0,0.091008772,,,,,0,0.333333333,1,A,"*AM SOC HYG ASS, 1916, 2 AM SOC HYG ASS, P7
*AM SOC HYG ASS, 1916, PUBL AM SOC HYG ASS, V74",TRUE,1,478
408,1,2,0.054343434,1,0,6,0.166666667,,,,,6,1,1,A,"*BUND MIN WIRTSCH, 1980, ENTW POL GRUNDL BUND
*BUND MIN WIRTSCH, 1986, GRUNDL ENTW POL BUND",TRUE,,889
475,1,3,0.010810811,1,0,0,0.02,,,,,0,0.333333333,1,A,"*BUR STAT, 1909, STAT ABSTR FOR COU 3
*BUR STAT, 1909, STAT ABSTR FOR COU 2",TRUE,1,944
1039,1,2,0.088211708,1,0,1,0.166421569,,,,,1,1,1,A,"*DEV ASS COMM, 1974, 1974 REV DEV COOP, P94
*DEV ASS COMM, 1975, 1975 REV",TRUE,1,1788
1133,1,2,0.013333333,1,0,1,0,,,,,1,1,1,A,"*EIU, 2001, ARG COUNTR REP UPD
*EIU, 2002, ARG COUNTR REP UPD",TRUE,1,1915
1234,1,2,0.009302326,1,0,4,0,,,,,4,1,1,A,"*FARM FIN STAND CO, 1991, FIN GUID AGR PROD
*FARM FIN STAND CO, 1995, FIN GUID AGR PROD",TRUE,1,2059
1235,1,2,0.092707122,1,0,0,0.575,,,,,0,1,1,A,"*FARM INC PROT INS, 1983, FARM INC PROT INS RE
*FARM INC PROT INS, 1983, REP US C",TRUE,1,2060
1589,1,3,0.010526316,1,0,2,0,,,,,2,0.1,1,A,"*I DON PUBL AFF RE, 1975, CORP GIV CAN
*I DON PUBL AFF RE, 1973, CORP GIV CAN",TRUE,1,2914
1716,1,2,0.091770335,1,0,4,0.179887218,,,,,4,0.333333333,1,A,"*INF FORM ACT COAL, 1984, INF NEWS, P1
*INF FORM ACT COAL, 1988, INF BRINGS GE LIGHT",TRUE,1,3087
2147,1,2,0.012121212,1,0,2,0,,,,,2,1,1,A,"*MIN LAB, 1993, ROD KEIZ DOK CHOS
*MIN LAB, 1995, ROD KEIZ DOK CHOS",TRUE,1,3887
2331,1,2,0.086178862,1,0,1,0.040952381,,,,,1,0.333333333,1,A,"*NAT FAM PROD COUN, 1995, ANN REV 1994 95
*NAT FAM PROD COUN, 1994, ANN REV 1993 94",TRUE,1,4208
2516,1,2,0.060606061,1,0,12,0.04,,,,,12,0.333333333,1,A,"*NSSO, 2001, LEV PATT CONS EXP IN
*NSSO, 1989, LEV PATT CONS EXP 19",TRUE,,4452
2766,1,2,0.035,1,0,0,0.07,,,,,0,1,1,A,"*POP REF BUR, 1981, FERT STAT WOM
*POP REF BUR, 1981, FERT STAT WOM DAT SH",TRUE,1,4800
2933,2,3,0.018181818,1,0,3,0,,,,,3,0.333333333,1,A,"*SARV, 1992, STAT TABL
*SARV, 1995, STAT TABL",TRUE,1,5186
3037,1,2,0.038297872,1,0,0,0,,,,,0,1,1,A,"*SOEP GROUP, 2001, P 2000 4 INT C GERM
*SOEP GROUP, 2001, P 2000 4 INT C GERM, V70, P7",TRUE,1,5368
3298,1,2,0.028571429,1,0,25,0,,,,,25,1,1,A,"*UK BOARD TRAD, 1877, STAT ABSTR SEV COL O
*UK BOARD TRAD, 1902, STAT ABSTR SEV COL O",TRUE,1,5715
3506,1,2,0.085419355,1,0,7,0.113333333,,,,,7,1,1,A,"*UN, 1971, SMALL SCALE INDUSTRI
*UN, 1978, SMALL SCAL MIN WORLD",TRUE,,6070
3617,1,2,0.033831537,1,0.026666667,2,0,,,,,2,1,1,A,"*US BUR EC AN, 2010, CURR DOLL REAL GROSS
*US BUR EC ANAL, 2008, CURR DOLL REAL GROSS",TRUE,1,6274
3689,1,2,0.094400764,1,0,1,0.315121457,,,,,1,1,1,A,"*US CIV SERV COMM, 1973, EQ EMPL OPP PLANS FE
*US CIV SERV COMM, 1974, EMPL TRAIN FED SERV",TRUE,1,6366
3691,1,2,0.121504113,1,0,12,0.481818182,,,,,12,1,1,A,"*US COMM CIV RIGHT, 1968, HEAR US COMM CIV RIG
*US COMM CIV RIGHT, 1980, TARN GOLD DOOR CIV R",TRUE,,6373
3889,1,2,0.016666667,1,0,0,0,,,,,0,1,1,A,"*US FED POW COMM, 1964, NATIONAL POWER SURVE
*US FED POW COMM, 1964, NATIONAL POWER SURVE, V1",TRUE,1,6716
7284,1,2,0.092592593,0,0.333333333,2,0,,,,,2,1,1,A,"AAKVIK A, 2003, CEPR DISCUSSION PAPE
FATAS A., 2001, CEPR DISCUSSION PAPE",TRUE,,7363
7754,1,2,0.028571429,0,0,0,0,,,,,0,1,1,A,"ACKER J., 1991, METHODOLOGY FEMINIST
ACKER J., 1991, METHODOLOGY FEMINIST, P133",TRUE,1,7928
8454,1,3,0.037963545,0,0,3,0,,,,,3,0.333333333,1,A,"AHARONI Y, 1966, FOREIGN INVESTMENT D, P235
AHARONI Y, 1969, FOREIGN INVESTMENT D",TRUE,1,8700
9115,1,2,0.068526316,0,0,0,0.082962963,,,,,0,1,1,A,"ALEXANDER KC, 1989, DOMINANCE STATE POWE, V1, P362
ALEXANDER KC, 1989, DORNINANCE STATE POW",TRUE,1,9355
9138,1,2,0.046464646,0,0.016666667,0,0,,,,,0,1,1,A,"ALEXANDER S, 1920, SPACE TIME DEITY, V1, P44
ALEXANDER S., 1920, SPACE TIME DEITY",TRUE,1,9369
9180,1,2,0.086824769,0,0.1,0,0,,,,,0,1,1,A,"ALFORD R, 1965, MUNICIPAL YB 1965
ALFORD ROBERT R., 1965, MUNICIPAL YB 1965, P82",TRUE,1,9401
9231,1,2,0.083109288,0,0.328571429,0,0,,,,,0,1,1,A,"ALIMADHI F, 2007, ZELIG EVERYONES STAT
IMAI K., 2007, ZELIG EVERYONES STAT",TRUE,,9435
10018,1,2,0.023885918,0,0,0,0.051111111,,,,,0,1,1,A,"AMOS V, 1981, FEMININISM GIRLS ADV
AMOS V, 1981, FEMINISM GIRLS ADVEN",TRUE,1,10282
10050,1,2,0.017647059,0,0.033333333,0,0.02,,,,,0,1,1,A,"AMT E, 2007, DIALOGUS SCACCARIO
AMT E., 2007, DIALOGUS SCACCARIO D",TRUE,1,10319
10625,1,2,0.086016662,0,0,38,0.132105263,,,,,38,1,1,A,"ANGELL RC, 1930, SOCIOLOGICAL THEORY
ANGELL RC, 1968, SOCIOLOGY LAW INTERD",TRUE,,10917
11068,1,2,0.030555556,0,0.025,0,0,,,,,0,1,1,A,"ARATO A, 2000, CIVIL SOC CONSTITUTI, P71
ARATO A., 2000, CIVIL SOC CONSTITUTI",TRUE,1,11240
11115,1,2,0.011111111,0,0,1,0,,,,,1,1,1,A,"ARCHER MS, 1971, CONTEMPORARY EUROPE
ARCHER MS, 1972, CONTEMPORARY EUROPE",TRUE,1,11264
11121,1,2,0.057553191,0,0,0,0.051764706,,,,,0,0.333333333,1,A,"ARCHIBALD GC, 1959, BRIT J PHILOS SC JUN
ARCHIBALD GC, 1959, BRIT J PHILOS SCI, V10, P58",TRUE,1,11268
11194,1,2,0.1,0,0,0,0.186153846,,,,,0,1,1,A,"ARENGO E, 1996, THESIS DEP ANTHR NEW
ARENGO E, 1996, THESIS NEW SCH SOCIA",TRUE,1,11363
11275,1,2,0.0782861,0,0.047435897,0,0,,,,,0,1,1,A,"ARIZMENDI MAM, 1983, UNPUB COMMUNICATION
ARIZMENDI PM, 1983, UNPUB COMMUNICATION",TRUE,1,11417
11620,1,2,0.023255814,0,0,0,0,,,,,0,1,1,A,"ARRIAGA EE, 1968, NEW LIFE TABLES LATI
ARRIAGA EE, 1968, NEW LIFE TABLES LATI, P25",TRUE,1,11793
12392,1,2,0.020790021,0,0.076767677,0,0,,,,,0,1,1,A,"AUSTEN JH, 1978, CHASE CHANCE CREATIV
AUSTIN J.H., 1978, CHASE CHANCE CREATIV",TRUE,1,12544
13289,1,3,0.033170135,0,0.02,0,0,,,,,0,0.333333333,1,A,"BAIROCH P., 1985, JERICHO MEXICO VILLE
BAIROCH P, 1985, JERICHO MEXICO VILLE, P460",TRUE,1,13473
13447,1,3,0.039784946,0,0,1,0.05,,,,,1,0.333333333,1,A,"BAKKE EW, 1946, MUTUAL SURVIVAL GOAL
BAKKE EW, 1947, MUTUAL SURVIVAL",TRUE,1,13601
13681,1,2,0.083374283,0,0.2,18,0,,,,,18,1,1,A,"BALKO EA, 1998, THESIS STATE U NEW Y
BARKAN SE, 1980, THESIS STATE U NEW Y",TRUE,,13918
14372,1,3,0.16772655,0,0.044444444,0,0.1925,,,,,0,0.333333333,1,A,"BARLOW R., 1981, STAT THEORY RELIABIL
BARLOW RE, 1981, STATISTICAL THEORY R",TRUE,1,14609
14409,1,2,0.051629524,0,0.07,0,0,,,,,0,1,1,A,"BARNARD H., 2008, ARCHAEOLOGY MOBILITY
BARNARD HANS, 2008, ARCHAEOLOGY MOBILITY, P43",TRUE,1,14646
14835,1,2,0.078888889,0,0.066666667,0,0,,,,,0,1,1,A,"BARTEL A, 1977, MEN PRERETIREMENT YE
BARTEL ANN P, 1977, MEN PRERETIREMENT YE, P39",TRUE,1,15141
14952,1,2,0.009302326,0,0,0,0,,,,,0,1,1,A,"BARTLETT RW, 1974, DAIRY MARKETING FACT, P7
BARTLETT RW, 1974, DAIRY MARKETING FACT, V7",TRUE,1,15325
15146,1,2,0.051340996,0,0.05,0,0.07,,,,,0,1,1,A,"BASSO K., 1976, MEANING ANTHR
BASSO KH, 1976, MEANING ANTHROPOLOGY",TRUE,1,15514
15164,1,2,0.078125553,0,0,0,0.199747475,,,,,0,1,1,A,"BASTIAT F., 1964, EC HARMONIES
BASTIAT F., 1964, EC SOPHISMS",TRUE,1,15527
15539,1,2,0.053368298,0,0.05,1,0,,,,,1,1,1,A,"BAUMEISTER R, 1995, EVIL INSIDE HUMAN CR
BAUMEISTER R. F., 1996, EVIL INSIDE HUMAN CR",TRUE,1,15913
15716,1,2,0.032432432,0,0,0,0.09,,,,,0,1,1,A,"BAYOUMI T, 1995, 5115 NBER NAT BUR EC
BAYOUMI T, 1995, 5283 NBER NAT BUR EC",TRUE,1,16115
15730,1,2,0.042958748,0,0,0,0.083157895,,,,,0,1,1,A,"BAZERMAN C, 1999, LANGUAGE EDISONS LIG
BAZERMAN C, 1999, LANGUAGES EDISONS LI",TRUE,1,16125
15885,1,2,0.072577985,0,0.073684211,0,0,,,,,0,1,1,A,"BEARDSLEY EDWARD H., 1987, HIST NEGLECT HLTH CA
BEARDSLEY EH, 1987, HIST NEGLECT HLTH CA, P27",TRUE,1,16318
15982,1,2,0.034787234,0,0.032051282,0,0,,,,,0,0.333333333,1,A,"BEBCHUK L. A., 2000, CONCENTRATED CORPORA, P445
BEBCHUK L A., 2000, CONCENTRATED CORPORA",TRUE,1,16392
16026,4,6,0.029795649,0,0,2,0,,,,,2,0.066666667,1,A,"BECKER G. S., 1996, ACCOUNTING TASTES, P3
BECKER G. S., 1998, ACCOUNTING TASTES",TRUE,1,16459
16290,1,2,0.025641026,0,0,0,0,,,,,0,1,1,A,"BEEGHLEY L, 1983, LIVING POORLY AM
BEEGHLEY L, 1983, LIVING POORLY AM, P93",TRUE,1,16692
16331,1,2,0.032163743,0,0.04,3,0.02,,,,,3,1,1,A,"BEERS D., 2006, SOVEREIGN DEFAULTS 2
BEERS D.T., 2003, SOVEREIGN DEFAULTS H",TRUE,1,16759
16680,1,2,0.053361345,0,0.128571429,0,0,,,,,0,0.333333333,1,A,"BELL RUDOLPH, 1979, FATE HONOR FAMILY VI
BELL RM, 1979, FATE HONOR FAMILY VI",TRUE,1,17094
