k,i,j,jw,cpau,jwau,dfpy,dfpy2,jwso,dfv,mfv,dfp,mfp,dfch,dft,pyxvxp,prob,miss,batch,str,train,match,ix,test
169,1,2,0.030689663,1,0,0,0,0.091008772,,,,,,,0,0.333333333,1,A,"*AM SOC HYG ASS, 1916, 2 AM SOC HYG ASS, P7
*AM SOC HYG ASS, 1916, PUBL AM SOC HYG ASS, V74",TRUE,TRUE,478,FALSE
408,1,2,0.054343434,1,0,6,36,0.166666667,,,,,,,6,1,1,A,"*BUND MIN WIRTSCH, 1980, ENTW POL GRUNDL BUND
*BUND MIN WIRTSCH, 1986, GRUNDL ENTW POL BUND",TRUE,,889,FALSE
475,1,3,0.010810811,1,0,0,0,0.02,,,,,,,0,0.333333333,1,A,"*BUR STAT, 1909, STAT ABSTR FOR COU 3
*BUR STAT, 1909, STAT ABSTR FOR COU 2",TRUE,TRUE,944,FALSE
1039,1,2,0.088211708,1,0,1,1,0.166421569,,,,,,,1,1,1,A,"*DEV ASS COMM, 1974, 1974 REV DEV COOP, P94
*DEV ASS COMM, 1975, 1975 REV",TRUE,TRUE,1788,FALSE
1133,1,2,0.013333333,1,0,1,1,0,,,,,,,1,1,1,A,"*EIU, 2001, ARG COUNTR REP UPD
*EIU, 2002, ARG COUNTR REP UPD",TRUE,TRUE,1915,FALSE
1234,1,2,0.009302326,1,0,4,16,0,,,,,,,4,1,1,A,"*FARM FIN STAND CO, 1991, FIN GUID AGR PROD
*FARM FIN STAND CO, 1995, FIN GUID AGR PROD",TRUE,TRUE,2059,FALSE
1235,1,2,0.092707122,1,0,0,0,0.575,,,,,,,0,1,1,A,"*FARM INC PROT INS, 1983, FARM INC PROT INS RE
*FARM INC PROT INS, 1983, REP US C",TRUE,TRUE,2060,FALSE
1589,1,3,0.010526316,1,0,2,4,0,,,,,,,2,0.1,1,A,"*I DON PUBL AFF RE, 1975, CORP GIV CAN
*I DON PUBL AFF RE, 1973, CORP GIV CAN",TRUE,TRUE,2914,FALSE
1716,1,2,0.091770335,1,0,4,16,0.179887218,,,,,,,4,0.333333333,1,A,"*INF FORM ACT COAL, 1984, INF NEWS, P1
*INF FORM ACT COAL, 1988, INF BRINGS GE LIGHT",TRUE,TRUE,3087,FALSE
2147,1,2,0.012121212,1,0,2,4,0,,,,,,,2,1,1,A,"*MIN LAB, 1993, ROD KEIZ DOK CHOS
*MIN LAB, 1995, ROD KEIZ DOK CHOS",TRUE,TRUE,3887,FALSE
2331,1,2,0.086178862,1,0,1,1,0.040952381,,,,,,,1,0.333333333,1,A,"*NAT FAM PROD COUN, 1995, ANN REV 1994 95
*NAT FAM PROD COUN, 1994, ANN REV 1993 94",TRUE,TRUE,4208,FALSE
2516,1,2,0.060606061,1,0,12,144,0.04,,,,,,,12,0.333333333,1,A,"*NSSO, 2001, LEV PATT CONS EXP IN
*NSSO, 1989, LEV PATT CONS EXP 19",TRUE,,4452,FALSE
2766,1,2,0.035,1,0,0,0,0.07,,,,,,,0,1,1,A,"*POP REF BUR, 1981, FERT STAT WOM
*POP REF BUR, 1981, FERT STAT WOM DAT SH",TRUE,TRUE,4800,FALSE
2933,2,3,0.018181818,1,0,3,9,0,,,,,,,3,0.333333333,1,A,"*SARV, 1992, STAT TABL
*SARV, 1995, STAT TABL",TRUE,TRUE,5186,FALSE
3037,1,2,0.038297872,1,0,0,0,0,,,,,,,0,1,1,A,"*SOEP GROUP, 2001, P 2000 4 INT C GERM
*SOEP GROUP, 2001, P 2000 4 INT C GERM, V70, P7",TRUE,TRUE,5368,FALSE
3298,1,2,0.028571429,1,0,25,625,0,,,,,,,25,1,1,A,"*UK BOARD TRAD, 1877, STAT ABSTR SEV COL O
*UK BOARD TRAD, 1902, STAT ABSTR SEV COL O",TRUE,TRUE,5715,FALSE
3506,1,2,0.085419355,1,0,7,49,0.113333333,,,,,,,7,1,1,A,"*UN, 1971, SMALL SCALE INDUSTRI
*UN, 1978, SMALL SCAL MIN WORLD",TRUE,,6070,FALSE
3617,1,2,0.033831537,1,0.026666667,2,4,0,,,,,,,2,1,1,A,"*US BUR EC AN, 2010, CURR DOLL REAL GROSS
*US BUR EC ANAL, 2008, CURR DOLL REAL GROSS",TRUE,TRUE,6274,FALSE
3689,1,2,0.094400764,1,0,1,1,0.315121457,,,,,,,1,1,1,A,"*US CIV SERV COMM, 1973, EQ EMPL OPP PLANS FE
*US CIV SERV COMM, 1974, EMPL TRAIN FED SERV",TRUE,TRUE,6366,FALSE
3691,1,2,0.121504113,1,0,12,144,0.481818182,,,,,,,12,1,1,A,"*US COMM CIV RIGHT, 1968, HEAR US COMM CIV RIG
*US COMM CIV RIGHT, 1980, TARN GOLD DOOR CIV R",TRUE,,6373,FALSE
3889,1,2,0.016666667,1,0,0,0,0,,,,,,,0,1,1,A,"*US FED POW COMM, 1964, NATIONAL POWER SURVE
*US FED POW COMM, 1964, NATIONAL POWER SURVE, V1",TRUE,TRUE,6716,FALSE
